,0,1,2,3,4,5,6,7,8,9
0,8.0,7.0,1.0,11.0,8.0,9.0,14.0,6.0,1.0,10.0
1,6.0,5.0,1.0,9.0,6.0,7.0,12.0,8.0,3.0,10.0
2,5.0,4.0,2.0,8.0,5.0,6.0,11.0,9.0,4.0,11.0
3,4.0,3.0,3.0,7.0,4.0,5.0,10.0,10.0,5.0,12.0
4,5.0,2.0,4.0,6.0,3.0,4.0,9.0,11.0,6.0,13.0
5,6.0,1.0,5.0,5.0,2.0,3.0,8.0,12.0,7.0,14.0
6,8.0,1.0,7.0,3.0,4.0,5.0,10.0,14.0,9.0,16.0
7,9.0,2.0,8.0,2.0,5.0,6.0,11.0,15.0,10.0,17.0
8,6.0,7.0,1.0,9.0,6.0,7.0,12.0,6.0,1.0,8.0
9,5.0,6.0,2.0,8.0,5.0,6.0,11.0,7.0,2.0,9.0
10,4.0,5.0,3.0,7.0,4.0,5.0,10.0,8.0,3.0,10.0
11,3.0,4.0,4.0,6.0,3.0,4.0,9.0,9.0,4.0,11.0
12,4.0,3.0,5.0,5.0,2.0,3.0,8.0,10.0,5.0,12.0
13,5.0,2.0,6.0,4.0,1.0,2.0,7.0,11.0,6.0,13.0
14,6.0,1.0,7.0,3.0,2.0,3.0,8.0,12.0,7.0,14.0
15,7.0,2.0,8.0,2.0,3.0,4.0,9.0,13.0,8.0,15.0
16,8.0,3.0,9.0,1.0,4.0,5.0,10.0,14.0,9.0,16.0
17,6.0,9.0,3.0,9.0,6.0,7.0,12.0,4.0,1.0,8.0
18,5.0,8.0,2.0,8.0,5.0,6.0,11.0,5.0,2.0,7.0
19,4.0,7.0,3.0,7.0,4.0,5.0,10.0,6.0,3.0,8.0
20,3.0,6.0,4.0,6.0,3.0,4.0,9.0,7.0,4.0,9.0
21,2.0,5.0,5.0,5.0,2.0,3.0,8.0,8.0,5.0,10.0
22,3.0,4.0,6.0,4.0,1.0,2.0,7.0,9.0,6.0,11.0
23,5.0,2.0,8.0,2.0,1.0,2.0,7.0,11.0,8.0,13.0
24,6.0,3.0,9.0,1.0,2.0,3.0,8.0,12.0,9.0,14.0
25,5.0,10.0,4.0,10.0,7.0,6.0,11.0,3.0,2.0,7.0
26,4.0,9.0,3.0,9.0,6.0,5.0,10.0,4.0,3.0,6.0
27,3.0,8.0,4.0,8.0,5.0,4.0,9.0,5.0,4.0,7.0
28,2.0,7.0,5.0,7.0,4.0,3.0,8.0,6.0,5.0,8.0
29,1.0,6.0,6.0,6.0,3.0,2.0,7.0,7.0,6.0,9.0
30,2.0,5.0,7.0,5.0,2.0,1.0,6.0,8.0,7.0,10.0
31,4.0,3.0,9.0,3.0,2.0,1.0,6.0,10.0,9.0,12.0
32,5.0,4.0,10.0,2.0,3.0,2.0,7.0,11.0,10.0,13.0
33,6.0,5.0,11.0,1.0,4.0,3.0,8.0,12.0,11.0,14.0
34,4.0,11.0,5.0,11.0,8.0,7.0,10.0,2.0,3.0,6.0
35,3.0,10.0,4.0,10.0,7.0,6.0,9.0,3.0,4.0,5.0
36,2.0,9.0,5.0,9.0,6.0,5.0,8.0,4.0,5.0,6.0
37,1.0,8.0,6.0,8.0,5.0,4.0,7.0,5.0,6.0,7.0
38,1.0,6.0,8.0,6.0,3.0,2.0,5.0,7.0,8.0,9.0
39,2.0,5.0,9.0,5.0,2.0,1.0,4.0,8.0,9.0,10.0
40,3.0,4.0,10.0,4.0,3.0,2.0,5.0,9.0,10.0,11.0
41,4.0,5.0,11.0,3.0,4.0,3.0,6.0,10.0,11.0,12.0
42,5.0,6.0,12.0,2.0,5.0,4.0,7.0,11.0,12.0,13.0
